0:2,39:1,21:0,1; 11:2,5:1,5:1,24; 12:2,24:1,42:-0,15; 13:2,76:1,41:1,6; 14:2,25:1,1:-0,89; 15:2,98:1,26:1,67; 16:2,29:0,82:-1,27; 21:3,01:1,24:1,61; 22:2,32:0,77:-1,28; 23:2,4:2,09:0,36; 24:2,19:2,07:-0,36; 25:2,58:2,39:-1,3; 26:2,12:2,46:-1,2; 27:2,28:2,71:-0,74; 28:2,1:2,68:0,71; 31:2,3:2,85:-1,36; 32:2,14:2,83:0,53
0:2,39:1,21:0,1; 11:2,5:1,5:1,24; 12:2,24:1,42:-0,15; 13:2,76:1,41:1,6; 14:2,25:1,1:-0,89; 15:2,98:1,26:1,67; 16:2,29:0,82:-1,27; 21:3,01:1,24:1,61; 22:2,32:0,77:-1,28; 23:2,4:2,09:0,36; 24:2,19:2,07:-0,36; 25:2,58:2,39:-1,3; 26:2,12:2,46:-1,2; 27:2,28:2,71:-0,74; 28:2,1:2,68:0,71; 31:2,3:2,85:-1,36; 32:2,14:2,83:0,53
0:2,39:1,2:0,05; 11:2,5:1,5:1,1; 12:2,24:1,41:-0,11; 13:2,77:1,4:1,19; 14:2,25:1,1:-0,83; 15:2,98:1,26:0,96; 16:2,29:0,82:-1,15; 21:3,01:1,24:0,9; 22:2,32:0,77:-1,17; 23:2,4:2,09:0,35; 24:2,2:2,07:-0,35; 25:2,58:2,39:-1,13; 26:2,12:2,43:-1,5; 27:2,28:2,71:-0,64; 28:2,09:2,7:-0,22; 31:2,3:2,86:-1,3; 32:2,12:2,84:-0,54
0:2,39:1,21:0,1; 11:2,5:1,5:1,24; 12:2,24:1,42:-0,15; 13:2,76:1,41:1,6; 14:2,25:1,1:-0,89; 15:2,98:1,26:1,67; 16:2,29:0,82:-1,27; 21:3,01:1,24:1,61; 22:2,32:0,77:-1,28; 23:2,4:2,09:0,36; 24:2,19:2,07:-0,36; 25:2,58:2,39:-1,3; 26:2,12:2,46:-1,2; 27:2,28:2,71:-0,74; 28:2,1:2,68:0,71; 31:2,3:2,85:-1,36; 32:2,14:2,83:0,53
0:2,39:1,2:0,05; 11:2,5:1,5:1,1; 12:2,24:1,41:-0,11; 13:2,77:1,4:1,19; 14:2,25:1,1:-0,83; 15:2,98:1,26:0,96; 16:2,29:0,82:-1,15; 21:3,01:1,24:0,9; 22:2,32:0,77:-1,17; 23:2,4:2,09:0,35; 24:2,2:2,07:-0,35; 25:2,58:2,39:-1,13; 26:2,12:2,43:-1,5; 27:2,28:2,71:-0,64; 28:2,09:2,7:-0,22; 31:2,3:2,86:-1,3; 32:2,12:2,84:-0,54
0:2,39:1,21:0,11; 11:2,51:1,51:1,2; 12:2,25:1,42:-0,12; 13:2,77:1,42:1,46; 14:2,26:1,1:-0,94; 15:2,99:1,26:1,47; 16:2,3:0,83:-1,41; 21:3,02:1,25:1,41; 22:2,33:0,78:-1,43; 23:2,41:2,1:0,36; 24:2,21:2,08:-0,37; 25:2,59:2,41:-1,06; 26:2,12:2,43:-1,54; 27:2,29:2,71:-0,46; 28:2,11:2,68:0,24; 31:2,28:2,85:-1,08; 32:2,15:2,83:0,04
0:2,39:1,21:0,1; 11:2,5:1,5:1,24; 12:2,24:1,42:-0,15; 13:2,76:1,41:1,6; 14:2,25:1,1:-0,89; 15:2,98:1,26:1,67; 16:2,29:0,82:-1,27; 21:3,01:1,24:1,61; 22:2,32:0,77:-1,28; 23:2,4:2,09:0,36; 24:2,19:2,07:-0,36; 25:2,58:2,39:-1,3; 26:2,12:2,46:-1,2; 27:2,28:2,71:-0,74; 28:2,1:2,68:0,71; 31:2,3:2,85:-1,36; 32:2,14:2,83:0,53
0:2,39:1,2:0,05; 11:2,5:1,5:1,1; 12:2,24:1,41:-0,11; 13:2,77:1,4:1,19; 14:2,25:1,1:-0,83; 15:2,98:1,26:0,96; 16:2,29:0,82:-1,15; 21:3,01:1,24:0,9; 22:2,32:0,77:-1,17; 23:2,4:2,09:0,35; 24:2,2:2,07:-0,35; 25:2,58:2,39:-1,13; 26:2,12:2,43:-1,5; 27:2,28:2,71:-0,64; 28:2,09:2,7:-0,22; 31:2,3:2,86:-1,3; 32:2,12:2,84:-0,54
0:2,39:1,21:0,11; 11:2,51:1,51:1,2; 12:2,25:1,42:-0,12; 13:2,77:1,42:1,46; 14:2,26:1,1:-0,94; 15:2,99:1,26:1,47; 16:2,3:0,83:-1,41; 21:3,02:1,25:1,41; 22:2,33:0,78:-1,43; 23:2,41:2,1:0,36; 24:2,21:2,08:-0,37; 25:2,59:2,41:-1,06; 26:2,12:2,43:-1,54; 27:2,29:2,71:-0,46; 28:2,11:2,68:0,24; 31:2,28:2,85:-1,08; 32:2,15:2,83:0,04
0:2,41:1,21:0,01; 11:2,51:1,51:1,12; 12:2,25:1,42:-0,19; 13:2,78:1,42:1,33; 14:2,26:1,1:-0,93; 15:2,99:1,27:1,27; 16:2,3:0,83:-1,24; 21:3,02:1,25:1,2; 22:2,33:0,78:-1,26; 23:2,41:2,1:0,36; 24:2,22:2,08:-0,36; 25:2,59:2,42:-0,89; 26:2,14:2,4:-1,67; 27:2,3:2,72:-0,28; 28:2,12:2,71:-0,24; 31:2,32:2,87:-0,87; 32:2,15:2,86:-0,54
0:2,39:1,21:0,1; 11:2,5:1,5:1,24; 12:2,24:1,42:-0,15; 13:2,76:1,41:1,6; 14:2,25:1,1:-0,89; 15:2,98:1,26:1,67; 16:2,29:0,82:-1,27; 21:3,01:1,24:1,61; 22:2,32:0,77:-1,28; 23:2,4:2,09:0,36; 24:2,19:2,07:-0,36; 25:2,58:2,39:-1,3; 26:2,12:2,46:-1,2; 27:2,28:2,71:-0,74; 28:2,1:2,68:0,71; 31:2,3:2,85:-1,36; 32:2,14:2,83:0,53
