0:0,58:0,23:-0,23; 11:0,59:0,31:-0,02; 12:0,52:0,26:-0,12; 13:0,61:0,4:-0,06; 14:0,48:0,3:-0,12; 15:0,62:0,46:-0,2; 16:0,47:0,39:-0,15; 21:0,61:0,46:-0,21; 22:0,48:0,43:-0,15; 23:0,54:0,46:0,06; 24:0,51:0,45:-0,06; 25:0,51:0,57:0,15; 26:0,55:0,48:-0,21; 27:0,48:0,61:0,36; 28:0,55:0,62:-0,11; 31:0,48:0,66:0,31; 32:0,57:0,67:-0,19
0:0,58:0,23:-0,23; 11:0,59:0,31:-0,02; 12:0,52:0,26:-0,12; 13:0,61:0,4:-0,06; 14:0,48:0,3:-0,12; 15:0,62:0,46:-0,2; 16:0,47:0,39:-0,15; 21:0,61:0,46:-0,21; 22:0,48:0,43:-0,15; 23:0,54:0,46:0,06; 24:0,51:0,45:-0,06; 25:0,51:0,57:0,15; 26:0,55:0,48:-0,21; 27:0,48:0,61:0,36; 28:0,55:0,62:-0,11; 31:0,48:0,66:0,31; 32:0,57:0,67:-0,19
0:0,58:0,22:-0,19; 11:0,58:0,29:0,01; 12:0,52:0,24:-0,08; 13:0,62:0,37:0,02; 14:0,48:0,23:0,01; 15:0,61:0,37:-0,05; 16:0,46:0,29:0,09; 21:0,6:0,36:-0,05; 22:0,46:0,31:0,09; 23:0,54:0,45:0,06; 24:0,52:0,44:-0,06; 25:0,51:0,51:0,22; 26:0,55:0,55:-0,16; 27:0,48:0,53:0,46; 28:0,56:0,7:-0,13; 31:0,48:0,56:0,47; 32:0,58:0,72:-0,21
0:0,58:0,23:-0,23; 11:0,59:0,31:-0,02; 12:0,52:0,26:-0,12; 13:0,61:0,4:-0,06; 14:0,48:0,3:-0,12; 15:0,62:0,46:-0,2; 16:0,47:0,39:-0,15; 21:0,61:0,46:-0,21; 22:0,48:0,43:-0,15; 23:0,54:0,46:0,06; 24:0,51:0,45:-0,06; 25:0,51:0,57:0,15; 26:0,55:0,48:-0,21; 27:0,48:0,61:0,36; 28:0,55:0,62:-0,11; 31:0,48:0,66:0,31; 32:0,57:0,67:-0,19
0:0,58:0,22:-0,19; 11:0,58:0,29:0,01; 12:0,52:0,24:-0,08; 13:0,62:0,37:0,02; 14:0,48:0,23:0,01; 15:0,61:0,37:-0,05; 16:0,46:0,29:0,09; 21:0,6:0,36:-0,05; 22:0,46:0,31:0,09; 23:0,54:0,45:0,06; 24:0,52:0,44:-0,06; 25:0,51:0,51:0,22; 26:0,55:0,55:-0,16; 27:0,48:0,53:0,46; 28:0,56:0,7:-0,13; 31:0,48:0,56:0,47; 32:0,58:0,72:-0,21
0:0,57:0,23:-0,28; 11:0,58:0,3:-0,08; 12:0,52:0,25:-0,13; 13:0,62:0,37:-0,18; 14:0,48:0,22:-0,04; 15:0,6:0,33:-0,36; 16:0,46:0,24:0,09; 21:0,6:0,32:-0,36; 22:0,46:0,26:0,09; 23:0,53:0,45:0,04; 24:0,52:0,45:-0,04; 25:0,51:0,44:0,28; 26:0,54:0,61:-0,07; 27:0,49:0,4:0,55; 28:0,56:0,75:-0,08; 31:0,48:0,41:0,57; 32:0,57:0,77:-0,18
0:0,58:0,23:-0,23; 11:0,59:0,31:-0,02; 12:0,52:0,26:-0,12; 13:0,61:0,4:-0,06; 14:0,48:0,3:-0,12; 15:0,62:0,46:-0,2; 16:0,47:0,39:-0,15; 21:0,61:0,46:-0,21; 22:0,48:0,43:-0,15; 23:0,54:0,46:0,06; 24:0,51:0,45:-0,06; 25:0,51:0,57:0,15; 26:0,55:0,48:-0,21; 27:0,48:0,61:0,36; 28:0,55:0,62:-0,11; 31:0,48:0,66:0,31; 32:0,57:0,67:-0,19
0:0,58:0,22:-0,19; 11:0,58:0,29:0,01; 12:0,52:0,24:-0,08; 13:0,62:0,37:0,02; 14:0,48:0,23:0,01; 15:0,61:0,37:-0,05; 16:0,46:0,29:0,09; 21:0,6:0,36:-0,05; 22:0,46:0,31:0,09; 23:0,54:0,45:0,06; 24:0,52:0,44:-0,06; 25:0,51:0,51:0,22; 26:0,55:0,55:-0,16; 27:0,48:0,53:0,46; 28:0,56:0,7:-0,13; 31:0,48:0,56:0,47; 32:0,58:0,72:-0,21
0:0,57:0,23:-0,28; 11:0,58:0,3:-0,08; 12:0,52:0,25:-0,13; 13:0,62:0,37:-0,18; 14:0,48:0,22:-0,04; 15:0,6:0,33:-0,36; 16:0,46:0,24:0,09; 21:0,6:0,32:-0,36; 22:0,46:0,26:0,09; 23:0,53:0,45:0,04; 24:0,52:0,45:-0,04; 25:0,51:0,44:0,28; 26:0,54:0,61:-0,07; 27:0,49:0,4:0,55; 28:0,56:0,75:-0,08; 31:0,48:0,41:0,57; 32:0,57:0,77:-0,18
0:0,57:0,26:-0,3; 11:0,58:0,33:-0,12; 12:0,52:0,27:-0,16; 13:0,62:0,4:-0,16; 14:0,48:0,25:-0,07; 15:0,6:0,34:-0,3; 16:0,46:0,27:-0,04; 21:0,59:0,35:-0,31; 22:0,45:0,28:-0,04; 23:0,53:0,47:0,03; 24:0,51:0,47:-0,03; 25:0,51:0,49:0,2; 26:0,54:0,6:-0,12; 27:0,48:0,45:0,39; 28:0,55:0,75:-0,17; 31:0,48:0,45:0,39; 32:0,56:0,79:-0,27
0:0,58:0,23:-0,23; 11:0,59:0,31:-0,02; 12:0,52:0,26:-0,12; 13:0,61:0,4:-0,06; 14:0,48:0,3:-0,12; 15:0,62:0,46:-0,2; 16:0,47:0,39:-0,15; 21:0,61:0,46:-0,21; 22:0,48:0,43:-0,15; 23:0,54:0,46:0,06; 24:0,51:0,45:-0,06; 25:0,51:0,57:0,15; 26:0,55:0,48:-0,21; 27:0,48:0,61:0,36; 28:0,55:0,62:-0,11; 31:0,48:0,66:0,31; 32:0,57:0,67:-0,19
