0:0,55:0,28:-0,16; 11:0,57:0,35:-0,01; 12:0,49:0,32:-0,07; 13:0,63:0,35:-0,12; 14:0,48:0,24:-0,17; 15:0,68:0,33:-0,32; 16:0,49:0,16:-0,25; 21:0,69:0,32:-0,33; 22:0,49:0,14:-0,25; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,59:0,43:-0,38; 26:0,53:0,63:-0,15; 27:0,58:0,48:-0,49; 28:0,54:0,77:-0,12; 31:0,58:0,47:-0,64; 32:0,54:0,81:-0,26
0:0,55:0,28:-0,16; 11:0,57:0,35:-0,01; 12:0,49:0,32:-0,07; 13:0,63:0,35:-0,12; 14:0,48:0,24:-0,17; 15:0,68:0,33:-0,32; 16:0,49:0,16:-0,25; 21:0,69:0,32:-0,33; 22:0,49:0,14:-0,25; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,59:0,43:-0,38; 26:0,53:0,63:-0,15; 27:0,58:0,48:-0,49; 28:0,54:0,77:-0,12; 31:0,58:0,47:-0,64; 32:0,54:0,81:-0,26
0:0,55:0,28:-0,19; 11:0,56:0,34:-0,03; 12:0,49:0,32:-0,09; 13:0,63:0,35:-0,12; 14:0,48:0,24:-0,2; 15:0,68:0,33:-0,31; 16:0,49:0,16:-0,28; 21:0,69:0,33:-0,33; 22:0,49:0,14:-0,28; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,58:0,43:-0,36; 26:0,53:0,63:-0,15; 27:0,57:0,48:-0,4; 28:0,54:0,77:-0,13; 31:0,59:0,49:-0,53; 32:0,54:0,82:-0,27
0:0,55:0,28:-0,16; 11:0,57:0,35:-0,01; 12:0,49:0,32:-0,07; 13:0,63:0,35:-0,12; 14:0,48:0,24:-0,17; 15:0,68:0,33:-0,32; 16:0,49:0,16:-0,25; 21:0,69:0,32:-0,33; 22:0,49:0,14:-0,25; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,59:0,43:-0,38; 26:0,53:0,63:-0,15; 27:0,58:0,48:-0,49; 28:0,54:0,77:-0,12; 31:0,58:0,47:-0,64; 32:0,54:0,81:-0,26
0:0,55:0,28:-0,19; 11:0,56:0,34:-0,03; 12:0,49:0,32:-0,09; 13:0,63:0,35:-0,12; 14:0,48:0,24:-0,2; 15:0,68:0,33:-0,31; 16:0,49:0,16:-0,28; 21:0,69:0,33:-0,33; 22:0,49:0,14:-0,28; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,58:0,43:-0,36; 26:0,53:0,63:-0,15; 27:0,57:0,48:-0,4; 28:0,54:0,77:-0,13; 31:0,59:0,49:-0,53; 32:0,54:0,82:-0,27
0:0,54:0,28:-0,18; 11:0,56:0,34:-0,02; 12:0,49:0,32:-0,08; 13:0,63:0,34:-0,13; 14:0,48:0,24:-0,18; 15:0,68:0,33:-0,34; 16:0,48:0,16:-0,26; 21:0,69:0,32:-0,36; 22:0,48:0,14:-0,27; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,58:0,43:-0,36; 26:0,53:0,63:-0,16; 27:0,57:0,48:-0,45; 28:0,54:0,77:-0,14; 31:0,59:0,5:-0,6; 32:0,54:0,81:-0,28
0:0,55:0,28:-0,16; 11:0,57:0,35:-0,01; 12:0,49:0,32:-0,07; 13:0,63:0,35:-0,12; 14:0,48:0,24:-0,17; 15:0,68:0,33:-0,32; 16:0,49:0,16:-0,25; 21:0,69:0,32:-0,33; 22:0,49:0,14:-0,25; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,59:0,43:-0,38; 26:0,53:0,63:-0,15; 27:0,58:0,48:-0,49; 28:0,54:0,77:-0,12; 31:0,58:0,47:-0,64; 32:0,54:0,81:-0,26
0:0,55:0,28:-0,19; 11:0,56:0,34:-0,03; 12:0,49:0,32:-0,09; 13:0,63:0,35:-0,12; 14:0,48:0,24:-0,2; 15:0,68:0,33:-0,31; 16:0,49:0,16:-0,28; 21:0,69:0,33:-0,33; 22:0,49:0,14:-0,28; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,58:0,43:-0,36; 26:0,53:0,63:-0,15; 27:0,57:0,48:-0,4; 28:0,54:0,77:-0,13; 31:0,59:0,49:-0,53; 32:0,54:0,82:-0,27
0:0,54:0,28:-0,18; 11:0,56:0,34:-0,02; 12:0,49:0,32:-0,08; 13:0,63:0,34:-0,13; 14:0,48:0,24:-0,18; 15:0,68:0,33:-0,34; 16:0,48:0,16:-0,26; 21:0,69:0,32:-0,36; 22:0,48:0,14:-0,27; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,58:0,43:-0,36; 26:0,53:0,63:-0,16; 27:0,57:0,48:-0,45; 28:0,54:0,77:-0,14; 31:0,59:0,5:-0,6; 32:0,54:0,81:-0,28
0:0,54:0,28:-0,19; 11:0,56:0,34:-0,03; 12:0,49:0,32:-0,08; 13:0,62:0,34:-0,14; 14:0,48:0,24:-0,2; 15:0,67:0,33:-0,34; 16:0,48:0,16:-0,29; 21:0,68:0,32:-0,36; 22:0,48:0,14:-0,29; 23:0,56:0,46:0; 24:0,52:0,49:-0; 25:0,58:0,43:-0,36; 26:0,53:0,63:-0,16; 27:0,56:0,48:-0,34; 28:0,53:0,77:-0,13; 31:0,58:0,52:-0,45; 32:0,54:0,81:-0,28
0:0,55:0,28:-0,16; 11:0,57:0,35:-0,01; 12:0,49:0,32:-0,07; 13:0,63:0,35:-0,12; 14:0,48:0,24:-0,17; 15:0,68:0,33:-0,32; 16:0,49:0,16:-0,25; 21:0,69:0,32:-0,33; 22:0,49:0,14:-0,25; 23:0,57:0,46:0; 24:0,53:0,49:-0; 25:0,59:0,43:-0,38; 26:0,53:0,63:-0,15; 27:0,58:0,48:-0,49; 28:0,54:0,77:-0,12; 31:0,58:0,47:-0,64; 32:0,54:0,81:-0,26
