0:5,87:1,85:-2,6; 11:6,08:2,69:-0,36; 12:5,03:2,53:-0,61; 13:6,82:2,46:-1,05; 14:4,28:2,1:-0,56; 15:7,42:2,14:-3,38; 16:3,79:1,41:-1,44; 21:7,54:2,05:-3,65; 22:3,69:1,26:-1,63; 23:5,94:4,17:0,28; 24:5,37:4,52:-0,28; 25:7,05:4,16:0,07; 26:5,43:6,21:-0,27; 27:7,76:4,52:2,54; 28:5,45:7,66:1,14; 31:8,16:4,37:1,73; 32:5,33:8,08:-0,4
0:5,87:1,85:-2,6; 11:6,08:2,69:-0,36; 12:5,03:2,53:-0,61; 13:6,82:2,46:-1,05; 14:4,28:2,1:-0,56; 15:7,42:2,14:-3,38; 16:3,79:1,41:-1,44; 21:7,54:2,05:-3,65; 22:3,69:1,26:-1,63; 23:5,94:4,17:0,28; 24:5,37:4,52:-0,28; 25:7,05:4,16:0,07; 26:5,43:6,21:-0,27; 27:7,76:4,52:2,54; 28:5,45:7,66:1,14; 31:8,16:4,37:1,73; 32:5,33:8,08:-0,4
0:5,87:1,84:-3,94; 11:6,08:2,68:-0,95; 12:5,04:2,52:-1,57; 13:6,83:2,45:-1,2; 14:4,28:2,09:-1,49; 15:7,42:2,13:-3,19; 16:3,79:1,4:-2,28; 21:7,54:2,04:-3,45; 22:3,69:1,25:-2,48; 23:5,94:4,17:0,28; 24:5,37:4,51:-0,28; 25:7,05:4,15:-1,53; 26:5,43:6,22:-0,26; 27:7,77:4,52:-0,24; 28:5,45:7,67:1,15; 31:8,16:4,37:-1,48; 32:5,33:8,08:-0,43
0:5,87:1,85:-2,6; 11:6,08:2,69:-0,36; 12:5,03:2,53:-0,61; 13:6,82:2,46:-1,05; 14:4,28:2,1:-0,56; 15:7,42:2,14:-3,38; 16:3,79:1,41:-1,44; 21:7,54:2,05:-3,65; 22:3,69:1,26:-1,63; 23:5,94:4,17:0,28; 24:5,37:4,52:-0,28; 25:7,05:4,16:0,07; 26:5,43:6,21:-0,27; 27:7,76:4,52:2,54; 28:5,45:7,66:1,14; 31:8,16:4,37:1,73; 32:5,33:8,08:-0,4
0:5,87:1,84:-3,94; 11:6,08:2,68:-0,95; 12:5,04:2,52:-1,57; 13:6,83:2,45:-1,2; 14:4,28:2,09:-1,49; 15:7,42:2,13:-3,19; 16:3,79:1,4:-2,28; 21:7,54:2,04:-3,45; 22:3,69:1,25:-2,48; 23:5,94:4,17:0,28; 24:5,37:4,51:-0,28; 25:7,05:4,15:-1,53; 26:5,43:6,22:-0,26; 27:7,77:4,52:-0,24; 28:5,45:7,67:1,15; 31:8,16:4,37:-1,48; 32:5,33:8,08:-0,43
0:5,86:1,84:-4,3; 11:6,09:2,68:-1,1; 12:5,04:2,52:-2,08; 13:6,83:2,45:-0,99; 14:4,28:2,09:-2,22; 15:7,42:2,13:-2,54; 16:3,79:1,4:-3,29; 21:7,54:2,04:-2,79; 22:3,69:1,25:-3,49; 23:5,94:4,17:0,36; 24:5,37:4,52:-0,36; 25:7,04:4,16:-0,71; 26:5,43:6,24:-0,3; 27:7,77:4,53:1,13; 28:5,45:7,67:1,39; 31:8,17:4,38:0,02; 32:5,33:8,08:-0,13
0:5,87:1,85:-2,6; 11:6,08:2,69:-0,36; 12:5,03:2,53:-0,61; 13:6,82:2,46:-1,05; 14:4,28:2,1:-0,56; 15:7,42:2,14:-3,38; 16:3,79:1,41:-1,44; 21:7,54:2,05:-3,65; 22:3,69:1,26:-1,63; 23:5,94:4,17:0,28; 24:5,37:4,52:-0,28; 25:7,05:4,16:0,07; 26:5,43:6,21:-0,27; 27:7,76:4,52:2,54; 28:5,45:7,66:1,14; 31:8,16:4,37:1,73; 32:5,33:8,08:-0,4
0:5,87:1,84:-3,94; 11:6,08:2,68:-0,95; 12:5,04:2,52:-1,57; 13:6,83:2,45:-1,2; 14:4,28:2,09:-1,49; 15:7,42:2,13:-3,19; 16:3,79:1,4:-2,28; 21:7,54:2,04:-3,45; 22:3,69:1,25:-2,48; 23:5,94:4,17:0,28; 24:5,37:4,51:-0,28; 25:7,05:4,15:-1,53; 26:5,43:6,22:-0,26; 27:7,77:4,52:-0,24; 28:5,45:7,67:1,15; 31:8,16:4,37:-1,48; 32:5,33:8,08:-0,43
0:5,86:1,84:-4,3; 11:6,09:2,68:-1,1; 12:5,04:2,52:-2,08; 13:6,83:2,45:-0,99; 14:4,28:2,09:-2,22; 15:7,42:2,13:-2,54; 16:3,79:1,4:-3,29; 21:7,54:2,04:-2,79; 22:3,69:1,25:-3,49; 23:5,94:4,17:0,36; 24:5,37:4,52:-0,36; 25:7,04:4,16:-0,71; 26:5,43:6,24:-0,3; 27:7,77:4,53:1,13; 28:5,45:7,67:1,39; 31:8,17:4,38:0,02; 32:5,33:8,08:-0,13
0:5,85:1,84:-3,98; 11:6,08:2,68:-1,21; 12:5,03:2,52:-1,58; 13:6,83:2,45:-2,04; 14:4,28:2,09:-1,52; 15:7,42:2,13:-4,39; 16:3,79:1,4:-2,35; 21:7,54:2,04:-4,65; 22:3,69:1,25:-2,54; 23:5,94:4,17:0,23; 24:5,37:4,52:-0,23; 25:7,04:4,17:-0,38; 26:5,43:6,26:-0,09; 27:7,76:4,53:2,03; 28:5,45:7,67:1,47; 31:8,16:4,38:1,11; 32:5,32:8,08:-0,08
0:5,87:1,85:-2,6; 11:6,08:2,69:-0,36; 12:5,03:2,53:-0,61; 13:6,82:2,46:-1,05; 14:4,28:2,1:-0,56; 15:7,42:2,14:-3,38; 16:3,79:1,41:-1,44; 21:7,54:2,05:-3,65; 22:3,69:1,26:-1,63; 23:5,94:4,17:0,28; 24:5,37:4,52:-0,28; 25:7,05:4,16:0,07; 26:5,43:6,21:-0,27; 27:7,76:4,52:2,54; 28:5,45:7,66:1,14; 31:8,16:4,37:1,73; 32:5,33:8,08:-0,4
