0:2,04:0,83:-0,89; 11:2,19:1,07:-0,46; 12:1,97:1,17:-0,25; 13:2,21:0,65:-0,8; 14:1,79:1,29:-0,21; 15:2,12:0,3:-1,01; 16:1,63:1,32:-0,28; 21:2,07:0,27:-1,02; 22:1,59:1,32:-0,32; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,27; 26:2,09:2,55:-0,06; 27:2,45:2,91:0,05; 28:2,17:3,19:0,18; 31:2,5:3,1:-0,29; 32:2,13:3,35:-0,21
0:2,04:0,83:-0,89; 11:2,19:1,07:-0,46; 12:1,97:1,17:-0,25; 13:2,21:0,65:-0,8; 14:1,79:1,29:-0,21; 15:2,12:0,3:-1,01; 16:1,63:1,32:-0,28; 21:2,07:0,27:-1,02; 22:1,59:1,32:-0,32; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,27; 26:2,09:2,55:-0,06; 27:2,45:2,91:0,05; 28:2,17:3,19:0,18; 31:2,5:3,1:-0,29; 32:2,13:3,35:-0,21
0:2,04:0,83:-0,96; 11:2,19:1,07:-0,53; 12:1,97:1,17:-0,32; 13:2,22:0,64:-0,89; 14:1,79:1,29:-0,28; 15:2,12:0,29:-1,12; 16:1,63:1,32:-0,38; 21:2,07:0,27:-1,13; 22:1,59:1,32:-0,42; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,26; 26:2,09:2,55:-0,04; 27:2,45:2,92:0,07; 28:2,17:3,19:0,22; 31:2,5:3,1:-0,27; 32:2,12:3,35:-0,15
0:2,04:0,83:-0,89; 11:2,19:1,07:-0,46; 12:1,97:1,17:-0,25; 13:2,21:0,65:-0,8; 14:1,79:1,29:-0,21; 15:2,12:0,3:-1,01; 16:1,63:1,32:-0,28; 21:2,07:0,27:-1,02; 22:1,59:1,32:-0,32; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,27; 26:2,09:2,55:-0,06; 27:2,45:2,91:0,05; 28:2,17:3,19:0,18; 31:2,5:3,1:-0,29; 32:2,13:3,35:-0,21
0:2,04:0,83:-0,96; 11:2,19:1,07:-0,53; 12:1,97:1,17:-0,32; 13:2,22:0,64:-0,89; 14:1,79:1,29:-0,28; 15:2,12:0,29:-1,12; 16:1,63:1,32:-0,38; 21:2,07:0,27:-1,13; 22:1,59:1,32:-0,42; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,26; 26:2,09:2,55:-0,04; 27:2,45:2,92:0,07; 28:2,17:3,19:0,22; 31:2,5:3,1:-0,27; 32:2,12:3,35:-0,15
0:2,04:0,83:-0,91; 11:2,19:1,07:-0,52; 12:1,97:1,17:-0,29; 13:2,22:0,65:-0,89; 14:1,79:1,29:-0,27; 15:2,12:0,29:-1,13; 16:1,63:1,32:-0,37; 21:2,07:0,27:-1,13; 22:1,59:1,32:-0,41; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,24; 26:2,09:2,55:-0,04; 27:2,45:2,9:0,13; 28:2,16:3,15:0,25; 31:2,5:3,07:-0,2; 32:2,12:3,33:-0,12
0:2,04:0,83:-0,89; 11:2,19:1,07:-0,46; 12:1,97:1,17:-0,25; 13:2,21:0,65:-0,8; 14:1,79:1,29:-0,21; 15:2,12:0,3:-1,01; 16:1,63:1,32:-0,28; 21:2,07:0,27:-1,02; 22:1,59:1,32:-0,32; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,27; 26:2,09:2,55:-0,06; 27:2,45:2,91:0,05; 28:2,17:3,19:0,18; 31:2,5:3,1:-0,29; 32:2,13:3,35:-0,21
0:2,04:0,83:-0,96; 11:2,19:1,07:-0,53; 12:1,97:1,17:-0,32; 13:2,22:0,64:-0,89; 14:1,79:1,29:-0,28; 15:2,12:0,29:-1,12; 16:1,63:1,32:-0,38; 21:2,07:0,27:-1,13; 22:1,59:1,32:-0,42; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,26; 26:2,09:2,55:-0,04; 27:2,45:2,92:0,07; 28:2,17:3,19:0,22; 31:2,5:3,1:-0,27; 32:2,12:3,35:-0,15
0:2,04:0,83:-0,91; 11:2,19:1,07:-0,52; 12:1,97:1,17:-0,29; 13:2,22:0,65:-0,89; 14:1,79:1,29:-0,27; 15:2,12:0,29:-1,13; 16:1,63:1,32:-0,37; 21:2,07:0,27:-1,13; 22:1,59:1,32:-0,41; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,24; 26:2,09:2,55:-0,04; 27:2,45:2,9:0,13; 28:2,16:3,15:0,25; 31:2,5:3,07:-0,2; 32:2,12:3,33:-0,12
0:2,04:0,82:-0,99; 11:2,19:1,06:-0,56; 12:1,97:1,17:-0,35; 13:2,22:0,64:-0,92; 14:1,79:1,29:-0,32; 15:2,12:0,28:-1,12; 16:1,63:1,32:-0,41; 21:2,07:0,26:-1,13; 22:1,59:1,32:-0,45; 23:2,19:1,85:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,17; 26:2,09:2,55:-0,05; 27:2,45:2,91:0,14; 28:2,16:3,16:0,23; 31:2,5:3,07:-0,19; 32:2,13:3,33:-0,13
0:2,04:0,83:-0,89; 11:2,19:1,07:-0,46; 12:1,97:1,17:-0,25; 13:2,21:0,65:-0,8; 14:1,79:1,29:-0,21; 15:2,12:0,3:-1,01; 16:1,63:1,32:-0,28; 21:2,07:0,27:-1,02; 22:1,59:1,32:-0,32; 23:2,19:1,86:-0,01; 24:2,05:1,91:0,01; 25:2,32:2,38:-0,27; 26:2,09:2,55:-0,06; 27:2,45:2,91:0,05; 28:2,17:3,19:0,18; 31:2,5:3,1:-0,29; 32:2,13:3,35:-0,21
