0:1,61:0,77:-0,24; 11:1,75:1,04:0,65; 12:1,49:0,98:-0,27; 13:1,98:0,94:0,67; 14:1,46:0,69:-0,77; 15:2,18:0,78:0,34; 16:1,48:0,42:-0,92; 21:2,2:0,76:0,27; 22:1,51:0,37:-0,94; 23:1,69:1,58:0,28; 24:1,5:1,57:-0,28; 25:1,88:1,87:-0,96; 26:1,46:1,87:-1,27; 27:1,65:2,15:-0,32; 28:1,47:2,17:-0,09; 31:1,66:2,29:-0,82; 32:1,5:2,31:-0,44
0:1,61:0,77:-0,24; 11:1,75:1,04:0,65; 12:1,49:0,98:-0,27; 13:1,98:0,94:0,67; 14:1,46:0,69:-0,77; 15:2,18:0,78:0,34; 16:1,48:0,42:-0,92; 21:2,2:0,76:0,27; 22:1,51:0,37:-0,94; 23:1,69:1,58:0,28; 24:1,5:1,57:-0,28; 25:1,88:1,87:-0,96; 26:1,46:1,87:-1,27; 27:1,65:2,15:-0,32; 28:1,47:2,17:-0,09; 31:1,66:2,29:-0,82; 32:1,5:2,31:-0,44
0:1,63:0,78:-0,29; 11:1,75:1,04:0,67; 12:1,49:0,98:-0,37; 13:1,99:0,94:0,78; 14:1,47:0,7:-0,82; 15:2,19:0,79:0,49; 16:1,49:0,43:-0,95; 21:2,21:0,77:0,42; 22:1,52:0,38:-0,97; 23:1,69:1,58:0,29; 24:1,51:1,57:-0,29; 25:1,89:1,87:-0,77; 26:1,47:1,87:-1,28; 27:1,65:2,16:-0,19; 28:1,47:2,18:-0,12; 31:1,68:2,29:-0,71; 32:1,5:2,31:-0,45
0:1,61:0,77:-0,24; 11:1,75:1,04:0,65; 12:1,49:0,98:-0,27; 13:1,98:0,94:0,67; 14:1,46:0,69:-0,77; 15:2,18:0,78:0,34; 16:1,48:0,42:-0,92; 21:2,2:0,76:0,27; 22:1,51:0,37:-0,94; 23:1,69:1,58:0,28; 24:1,5:1,57:-0,28; 25:1,88:1,87:-0,96; 26:1,46:1,87:-1,27; 27:1,65:2,15:-0,32; 28:1,47:2,17:-0,09; 31:1,66:2,29:-0,82; 32:1,5:2,31:-0,44
0:1,63:0,78:-0,29; 11:1,75:1,04:0,67; 12:1,49:0,98:-0,37; 13:1,99:0,94:0,78; 14:1,47:0,7:-0,82; 15:2,19:0,79:0,49; 16:1,49:0,43:-0,95; 21:2,21:0,77:0,42; 22:1,52:0,38:-0,97; 23:1,69:1,58:0,29; 24:1,51:1,57:-0,29; 25:1,89:1,87:-0,77; 26:1,47:1,87:-1,28; 27:1,65:2,16:-0,19; 28:1,47:2,18:-0,12; 31:1,68:2,29:-0,71; 32:1,5:2,31:-0,45
0:1,64:0,78:-0,35; 11:1,75:1,04:0,64; 12:1,5:0,99:-0,39; 13:2:0,94:0,78; 14:1,48:0,7:-0,83; 15:2,19:0,79:0,51; 16:1,5:0,43:-0,95; 21:2,21:0,77:0,44; 22:1,53:0,38:-0,97; 23:1,7:1,59:0,29; 24:1,52:1,57:-0,29; 25:1,89:1,87:-0,68; 26:1,47:1,87:-1,16; 27:1,65:2,17:-0,14; 28:1,47:2,18:-0,11; 31:1,72:2,29:-0,68; 32:1,5:2,31:-0,4
0:1,61:0,77:-0,24; 11:1,75:1,04:0,65; 12:1,49:0,98:-0,27; 13:1,98:0,94:0,67; 14:1,46:0,69:-0,77; 15:2,18:0,78:0,34; 16:1,48:0,42:-0,92; 21:2,2:0,76:0,27; 22:1,51:0,37:-0,94; 23:1,69:1,58:0,28; 24:1,5:1,57:-0,28; 25:1,88:1,87:-0,96; 26:1,46:1,87:-1,27; 27:1,65:2,15:-0,32; 28:1,47:2,17:-0,09; 31:1,66:2,29:-0,82; 32:1,5:2,31:-0,44
0:1,63:0,78:-0,29; 11:1,75:1,04:0,67; 12:1,49:0,98:-0,37; 13:1,99:0,94:0,78; 14:1,47:0,7:-0,82; 15:2,19:0,79:0,49; 16:1,49:0,43:-0,95; 21:2,21:0,77:0,42; 22:1,52:0,38:-0,97; 23:1,69:1,58:0,29; 24:1,51:1,57:-0,29; 25:1,89:1,87:-0,77; 26:1,47:1,87:-1,28; 27:1,65:2,16:-0,19; 28:1,47:2,18:-0,12; 31:1,68:2,29:-0,71; 32:1,5:2,31:-0,45
0:1,64:0,78:-0,35; 11:1,75:1,04:0,64; 12:1,5:0,99:-0,39; 13:2:0,94:0,78; 14:1,48:0,7:-0,83; 15:2,19:0,79:0,51; 16:1,5:0,43:-0,95; 21:2,21:0,77:0,44; 22:1,53:0,38:-0,97; 23:1,7:1,59:0,29; 24:1,52:1,57:-0,29; 25:1,89:1,87:-0,68; 26:1,47:1,87:-1,16; 27:1,65:2,17:-0,14; 28:1,47:2,18:-0,11; 31:1,72:2,29:-0,68; 32:1,5:2,31:-0,4
0:1,64:0,78:-0,33; 11:1,76:1,05:0,66; 12:1,51:0,99:-0,34; 13:2:0,94:0,74; 14:1,48:0,7:-0,82; 15:2,19:0,79:0,39; 16:1,5:0,43:-0,96; 21:2,21:0,77:0,32; 22:1,53:0,38:-0,97; 23:1,7:1,59:0,29; 24:1,53:1,57:-0,29; 25:1,89:1,87:-0,73; 26:1,48:1,87:-1,17; 27:1,65:2,17:-0,15; 28:1,47:2,18:0; 31:1,71:2,29:-0,69; 32:1,51:2,31:-0,33
0:1,61:0,77:-0,24; 11:1,75:1,04:0,65; 12:1,49:0,98:-0,27; 13:1,98:0,94:0,67; 14:1,46:0,69:-0,77; 15:2,18:0,78:0,34; 16:1,48:0,42:-0,92; 21:2,2:0,76:0,27; 22:1,51:0,37:-0,94; 23:1,69:1,58:0,28; 24:1,5:1,57:-0,28; 25:1,88:1,87:-0,96; 26:1,46:1,87:-1,27; 27:1,65:2,15:-0,32; 28:1,47:2,17:-0,09; 31:1,66:2,29:-0,82; 32:1,5:2,31:-0,44
