0:2,35:1,42:-0,21; 11:2,52:1,65:-0,08; 12:2,25:1,74:0,65; 13:2,82:1,65:0,18; 14:1,88:1,83:0,69; 15:3,13:1,6:0,49; 16:1,56:1,74:0,52; 21:3,19:1,6:0,45; 22:1,51:1,69:0,46; 23:2,62:2,17:-0,43; 24:2,53:2,22:0,43; 25:2,36:2,51:-1,17; 26:2,84:2,55:0,3; 27:2,55:2,9:-0,86; 28:3,24:2,64:0,64; 31:2,46:3,04:-1,18; 32:3,34:2,72:0,52
0:2,35:1,42:-0,21; 11:2,52:1,65:-0,08; 12:2,25:1,74:0,65; 13:2,82:1,65:0,18; 14:1,88:1,83:0,69; 15:3,13:1,6:0,49; 16:1,56:1,74:0,52; 21:3,19:1,6:0,45; 22:1,51:1,69:0,46; 23:2,62:2,17:-0,43; 24:2,53:2,22:0,43; 25:2,36:2,51:-1,17; 26:2,84:2,55:0,3; 27:2,55:2,9:-0,86; 28:3,24:2,64:0,64; 31:2,46:3,04:-1,18; 32:3,34:2,72:0,52
0:2,34:1,43:-0,03; 11:2,51:1,65:-0,1; 12:2,25:1,73:0,9; 13:2,79:1,64:-0,19; 14:1,88:1,82:1,3; 15:3,06:1,6:-0,34; 16:1,54:1,77:1,57; 21:3,1:1,6:-0,38; 22:1,49:1,73:1,52; 23:2,6:2,18:-0,48; 24:2,54:2,22:0,48; 25:2,32:2,53:-0,79; 26:2,94:2,52:0,48; 27:2,42:2,9:-0,57; 28:3,34:2,69:0,87; 31:2,3:3,03:-0,89; 32:3,35:2,78:0,75
0:2,35:1,42:-0,21; 11:2,52:1,65:-0,08; 12:2,25:1,74:0,65; 13:2,82:1,65:0,18; 14:1,88:1,83:0,69; 15:3,13:1,6:0,49; 16:1,56:1,74:0,52; 21:3,19:1,6:0,45; 22:1,51:1,69:0,46; 23:2,62:2,17:-0,43; 24:2,53:2,22:0,43; 25:2,36:2,51:-1,17; 26:2,84:2,55:0,3; 27:2,55:2,9:-0,86; 28:3,24:2,64:0,64; 31:2,46:3,04:-1,18; 32:3,34:2,72:0,52
0:2,34:1,43:-0,03; 11:2,51:1,65:-0,1; 12:2,25:1,73:0,9; 13:2,79:1,64:-0,19; 14:1,88:1,82:1,3; 15:3,06:1,6:-0,34; 16:1,54:1,77:1,57; 21:3,1:1,6:-0,38; 22:1,49:1,73:1,52; 23:2,6:2,18:-0,48; 24:2,54:2,22:0,48; 25:2,32:2,53:-0,79; 26:2,94:2,52:0,48; 27:2,42:2,9:-0,57; 28:3,34:2,69:0,87; 31:2,3:3,03:-0,89; 32:3,35:2,78:0,75
0:2,34:1,43:-0,08; 11:2,5:1,66:-0,26; 12:2,23:1,73:0,88; 13:2,75:1,64:-0,73; 14:1,88:1,82:1,41; 15:2,98:1,59:-1,33; 16:1,55:1,79:1,79; 21:3,02:1,6:-1,39; 22:1,5:1,75:1,74; 23:2,57:2,17:-0,49; 24:2,54:2,21:0,49; 25:2,33:2,51:-1; 26:2,93:2,51:0,26; 27:2,4:2,9:-0,62; 28:3,36:2,73:0,58; 31:2,31:3,01:-1,01; 32:3,35:2,79:0,27
0:2,35:1,42:-0,21; 11:2,52:1,65:-0,08; 12:2,25:1,74:0,65; 13:2,82:1,65:0,18; 14:1,88:1,83:0,69; 15:3,13:1,6:0,49; 16:1,56:1,74:0,52; 21:3,19:1,6:0,45; 22:1,51:1,69:0,46; 23:2,62:2,17:-0,43; 24:2,53:2,22:0,43; 25:2,36:2,51:-1,17; 26:2,84:2,55:0,3; 27:2,55:2,9:-0,86; 28:3,24:2,64:0,64; 31:2,46:3,04:-1,18; 32:3,34:2,72:0,52
0:2,34:1,43:-0,03; 11:2,51:1,65:-0,1; 12:2,25:1,73:0,9; 13:2,79:1,64:-0,19; 14:1,88:1,82:1,3; 15:3,06:1,6:-0,34; 16:1,54:1,77:1,57; 21:3,1:1,6:-0,38; 22:1,49:1,73:1,52; 23:2,6:2,18:-0,48; 24:2,54:2,22:0,48; 25:2,32:2,53:-0,79; 26:2,94:2,52:0,48; 27:2,42:2,9:-0,57; 28:3,34:2,69:0,87; 31:2,3:3,03:-0,89; 32:3,35:2,78:0,75
0:2,34:1,43:-0,08; 11:2,5:1,66:-0,26; 12:2,23:1,73:0,88; 13:2,75:1,64:-0,73; 14:1,88:1,82:1,41; 15:2,98:1,59:-1,33; 16:1,55:1,79:1,79; 21:3,02:1,6:-1,39; 22:1,5:1,75:1,74; 23:2,57:2,17:-0,49; 24:2,54:2,21:0,49; 25:2,33:2,51:-1; 26:2,93:2,51:0,26; 27:2,4:2,9:-0,62; 28:3,36:2,73:0,58; 31:2,31:3,01:-1,01; 32:3,35:2,79:0,27
0:2,34:1,42:-0,11; 11:2,5:1,65:-0,69; 12:2,26:1,72:0,98; 13:2,69:1,64:-1,63; 14:1,93:1,82:1,86; 15:2,88:1,59:-2,67; 16:1,59:1,81:2,57; 21:2,91:1,59:-2,72; 22:1,51:1,78:2,53; 23:2,57:2,18:-0,57; 24:2,53:2,21:0,58; 25:2,43:2,51:-1,01; 26:2,89:2,54:0,38; 27:2,32:2,89:-1; 28:3,22:2,78:0,57; 31:2,21:3:-1,45; 32:3,12:2,87:0,32
0:2,35:1,42:-0,21; 11:2,52:1,65:-0,08; 12:2,25:1,74:0,65; 13:2,82:1,65:0,18; 14:1,88:1,83:0,69; 15:3,13:1,6:0,49; 16:1,56:1,74:0,52; 21:3,19:1,6:0,45; 22:1,51:1,69:0,46; 23:2,62:2,17:-0,43; 24:2,53:2,22:0,43; 25:2,36:2,51:-1,17; 26:2,84:2,55:0,3; 27:2,55:2,9:-0,86; 28:3,24:2,64:0,64; 31:2,46:3,04:-1,18; 32:3,34:2,72:0,52
