0:4,63:2,49:-2,29; 11:4,98:2,97:-1,41; 12:4,47:3,26:-0,82; 13:5,01:2,04:-2,34; 14:4,09:3,58:-0,61; 15:4,78:1,24:-2,91; 16:3,74:3,65:-0,68; 21:4,69:1,21:-2,93; 22:3,66:3,66:-0,76; 23:4,98:4,74:-0,07; 24:4,68:4,89:0,07; 25:5,31:5,83:-0,52; 26:4,78:6,24:0,2; 27:5,61:6,91:0,34; 28:4,95:7,56:0,89; 31:5,7:7,33:-0,33; 32:4,91:7,94:0,12
0:4,63:2,49:-2,29; 11:4,98:2,97:-1,41; 12:4,47:3,26:-0,82; 13:5,01:2,04:-2,34; 14:4,09:3,58:-0,61; 15:4,78:1,24:-2,91; 16:3,74:3,65:-0,68; 21:4,69:1,21:-2,93; 22:3,66:3,66:-0,76; 23:4,98:4,74:-0,07; 24:4,68:4,89:0,07; 25:5,31:5,83:-0,52; 26:4,78:6,24:0,2; 27:5,61:6,91:0,34; 28:4,95:7,56:0,89; 31:5,7:7,33:-0,33; 32:4,91:7,94:0,12
0:4,62:2,49:-2,23; 11:4,97:2,97:-1,4; 12:4,46:3,27:-0,78; 13:5:2,02:-2,32; 14:4,08:3,58:-0,61; 15:4,76:1,24:-2,88; 16:3,73:3,66:-0,71; 21:4,69:1,21:-2,9; 22:3,64:3,67:-0,81; 23:4,98:4,75:-0,07; 24:4,67:4,91:0,07; 25:5,29:5,87:-0,35; 26:4,77:6,24:0,18; 27:5,6:6,94:0,5; 28:4,95:7,56:0,89; 31:5,7:7,4:-0,18; 32:4,9:7,96:0,13
0:4,63:2,49:-2,29; 11:4,98:2,97:-1,41; 12:4,47:3,26:-0,82; 13:5,01:2,04:-2,34; 14:4,09:3,58:-0,61; 15:4,78:1,24:-2,91; 16:3,74:3,65:-0,68; 21:4,69:1,21:-2,93; 22:3,66:3,66:-0,76; 23:4,98:4,74:-0,07; 24:4,68:4,89:0,07; 25:5,31:5,83:-0,52; 26:4,78:6,24:0,2; 27:5,61:6,91:0,34; 28:4,95:7,56:0,89; 31:5,7:7,33:-0,33; 32:4,91:7,94:0,12
0:4,62:2,49:-2,23; 11:4,97:2,97:-1,4; 12:4,46:3,27:-0,78; 13:5:2,02:-2,32; 14:4,08:3,58:-0,61; 15:4,76:1,24:-2,88; 16:3,73:3,66:-0,71; 21:4,69:1,21:-2,9; 22:3,64:3,67:-0,81; 23:4,98:4,75:-0,07; 24:4,67:4,91:0,07; 25:5,29:5,87:-0,35; 26:4,77:6,24:0,18; 27:5,6:6,94:0,5; 28:4,95:7,56:0,89; 31:5,7:7,4:-0,18; 32:4,9:7,96:0,13
0:4,61:2,49:-2,43; 11:4,96:2,98:-1,49; 12:4,45:3,27:-0,91; 13:5:2,02:-2,35; 14:4,08:3,58:-0,69; 15:4,76:1,24:-2,87; 16:3,7:3,67:-0,73; 21:4,68:1,21:-2,89; 22:3,63:3,67:-0,83; 23:4,97:4,75:-0,07; 24:4,66:4,9:0,07; 25:5,29:5,87:-0,35; 26:4,76:6,25:0,14; 27:5,59:6,98:0,46; 28:4,95:7,62:0,82; 31:5,7:7,43:-0,25; 32:4,86:7,98:0,04
0:4,63:2,49:-2,29; 11:4,98:2,97:-1,41; 12:4,47:3,26:-0,82; 13:5,01:2,04:-2,34; 14:4,09:3,58:-0,61; 15:4,78:1,24:-2,91; 16:3,74:3,65:-0,68; 21:4,69:1,21:-2,93; 22:3,66:3,66:-0,76; 23:4,98:4,74:-0,07; 24:4,68:4,89:0,07; 25:5,31:5,83:-0,52; 26:4,78:6,24:0,2; 27:5,61:6,91:0,34; 28:4,95:7,56:0,89; 31:5,7:7,33:-0,33; 32:4,91:7,94:0,12
0:4,62:2,49:-2,23; 11:4,97:2,97:-1,4; 12:4,46:3,27:-0,78; 13:5:2,02:-2,32; 14:4,08:3,58:-0,61; 15:4,76:1,24:-2,88; 16:3,73:3,66:-0,71; 21:4,69:1,21:-2,9; 22:3,64:3,67:-0,81; 23:4,98:4,75:-0,07; 24:4,67:4,91:0,07; 25:5,29:5,87:-0,35; 26:4,77:6,24:0,18; 27:5,6:6,94:0,5; 28:4,95:7,56:0,89; 31:5,7:7,4:-0,18; 32:4,9:7,96:0,13
0:4,61:2,49:-2,43; 11:4,96:2,98:-1,49; 12:4,45:3,27:-0,91; 13:5:2,02:-2,35; 14:4,08:3,58:-0,69; 15:4,76:1,24:-2,87; 16:3,7:3,67:-0,73; 21:4,68:1,21:-2,89; 22:3,63:3,67:-0,83; 23:4,97:4,75:-0,07; 24:4,66:4,9:0,07; 25:5,29:5,87:-0,35; 26:4,76:6,25:0,14; 27:5,59:6,98:0,46; 28:4,95:7,62:0,82; 31:5,7:7,43:-0,25; 32:4,86:7,98:0,04
0:4,61:2,49:-2,38; 11:4,95:2,99:-1,48; 12:4,45:3,28:-0,85; 13:4,99:2,04:-2,34; 14:4,07:3,59:-0,64; 15:4,76:1,25:-2,89; 16:3,7:3,68:-0,74; 21:4,68:1,22:-2,92; 22:3,62:3,68:-0,83; 23:4,96:4,75:-0,08; 24:4,65:4,91:0,08; 25:5,27:5,87:-0,37; 26:4,75:6,25:0,22; 27:5,58:6,96:0,46; 28:4,95:7,63:0,84; 31:5,68:7,42:-0,23; 32:4,85:7,99:0,05
0:4,63:2,49:-2,29; 11:4,98:2,97:-1,41; 12:4,47:3,26:-0,82; 13:5,01:2,04:-2,34; 14:4,09:3,58:-0,61; 15:4,78:1,24:-2,91; 16:3,74:3,65:-0,68; 21:4,69:1,21:-2,93; 22:3,66:3,66:-0,76; 23:4,98:4,74:-0,07; 24:4,68:4,89:0,07; 25:5,31:5,83:-0,52; 26:4,78:6,24:0,2; 27:5,61:6,91:0,34; 28:4,95:7,56:0,89; 31:5,7:7,33:-0,33; 32:4,91:7,94:0,12
