0:5,59:2,89:-2,13; 11:5,93:3,35:-1,32; 12:5,36:3,47:-0,29; 13:6,25:2,59:-2,03; 14:5,05:3,36:-0,81; 15:6,57:1,96:-2,6; 16:4,94:3,16:-2,38; 21:6,66:1,82:-2,66; 22:4,91:3,15:-2,52; 23:5,57:4,81:-0,44; 24:5,25:4,65:0,44; 25:5,52:5,96:-0,88; 26:4,44:4,69:0,6; 27:5,52:7,15:-0,43; 28:3,75:4,41:1,51; 31:5,42:7,5:-1,47; 32:3,48:4,18:1
0:5,59:2,89:-2,13; 11:5,93:3,35:-1,32; 12:5,36:3,47:-0,29; 13:6,25:2,59:-2,03; 14:5,05:3,36:-0,81; 15:6,57:1,96:-2,6; 16:4,94:3,16:-2,38; 21:6,66:1,82:-2,66; 22:4,91:3,15:-2,52; 23:5,57:4,81:-0,44; 24:5,25:4,65:0,44; 25:5,52:5,96:-0,88; 26:4,44:4,69:0,6; 27:5,52:7,15:-0,43; 28:3,75:4,41:1,51; 31:5,42:7,5:-1,47; 32:3,48:4,18:1
0:5,6:2,87:-2,21; 11:5,93:3,33:-1,42; 12:5,36:3,46:-0,27; 13:6,25:2,57:-2,04; 14:5,06:3,35:-0,5; 15:6,58:1,91:-2,53; 16:4,93:3,14:-1,86; 21:6,66:1,75:-2,58; 22:4,89:3,12:-2,01; 23:5,57:4,81:-0,48; 24:5,25:4,65:0,48; 25:5,51:5,96:-0,84; 26:4,44:4,69:0,77; 27:5,52:7,15:-0,32; 28:3,74:4,4:1,94; 31:5,41:7,53:-1,35; 32:3,47:4,18:1,43
0:5,59:2,89:-2,13; 11:5,93:3,35:-1,32; 12:5,36:3,47:-0,29; 13:6,25:2,59:-2,03; 14:5,05:3,36:-0,81; 15:6,57:1,96:-2,6; 16:4,94:3,16:-2,38; 21:6,66:1,82:-2,66; 22:4,91:3,15:-2,52; 23:5,57:4,81:-0,44; 24:5,25:4,65:0,44; 25:5,52:5,96:-0,88; 26:4,44:4,69:0,6; 27:5,52:7,15:-0,43; 28:3,75:4,41:1,51; 31:5,42:7,5:-1,47; 32:3,48:4,18:1
0:5,6:2,87:-2,21; 11:5,93:3,33:-1,42; 12:5,36:3,46:-0,27; 13:6,25:2,57:-2,04; 14:5,06:3,35:-0,5; 15:6,58:1,91:-2,53; 16:4,93:3,14:-1,86; 21:6,66:1,75:-2,58; 22:4,89:3,12:-2,01; 23:5,57:4,81:-0,48; 24:5,25:4,65:0,48; 25:5,51:5,96:-0,84; 26:4,44:4,69:0,77; 27:5,52:7,15:-0,32; 28:3,74:4,4:1,94; 31:5,41:7,53:-1,35; 32:3,47:4,18:1,43
0:5,62:2,87:-1,95; 11:5,94:3,33:-0,62; 12:5,36:3,46:-0,89; 13:6,25:2,58:-0,33; 14:5,07:3,35:-2,02; 15:6,6:1,91:-0,03; 16:4,94:3,15:-3,92; 21:6,68:1,75:-0,09; 22:4,93:3,14:-4,07; 23:5,59:4,81:0,12; 24:5,25:4,65:-0,12; 25:5,52:5,96:0,3; 26:4,42:4,68:0,04; 27:5,53:7,15:0,63; 28:3,75:4,39:1,44; 31:5,49:7,52:-0,4; 32:3,48:4,18:1,02
0:5,59:2,89:-2,13; 11:5,93:3,35:-1,32; 12:5,36:3,47:-0,29; 13:6,25:2,59:-2,03; 14:5,05:3,36:-0,81; 15:6,57:1,96:-2,6; 16:4,94:3,16:-2,38; 21:6,66:1,82:-2,66; 22:4,91:3,15:-2,52; 23:5,57:4,81:-0,44; 24:5,25:4,65:0,44; 25:5,52:5,96:-0,88; 26:4,44:4,69:0,6; 27:5,52:7,15:-0,43; 28:3,75:4,41:1,51; 31:5,42:7,5:-1,47; 32:3,48:4,18:1
0:5,6:2,87:-2,21; 11:5,93:3,33:-1,42; 12:5,36:3,46:-0,27; 13:6,25:2,57:-2,04; 14:5,06:3,35:-0,5; 15:6,58:1,91:-2,53; 16:4,93:3,14:-1,86; 21:6,66:1,75:-2,58; 22:4,89:3,12:-2,01; 23:5,57:4,81:-0,48; 24:5,25:4,65:0,48; 25:5,51:5,96:-0,84; 26:4,44:4,69:0,77; 27:5,52:7,15:-0,32; 28:3,74:4,4:1,94; 31:5,41:7,53:-1,35; 32:3,47:4,18:1,43
0:5,62:2,87:-1,95; 11:5,94:3,33:-0,62; 12:5,36:3,46:-0,89; 13:6,25:2,58:-0,33; 14:5,07:3,35:-2,02; 15:6,6:1,91:-0,03; 16:4,94:3,15:-3,92; 21:6,68:1,75:-0,09; 22:4,93:3,14:-4,07; 23:5,59:4,81:0,12; 24:5,25:4,65:-0,12; 25:5,52:5,96:0,3; 26:4,42:4,68:0,04; 27:5,53:7,15:0,63; 28:3,75:4,39:1,44; 31:5,49:7,52:-0,4; 32:3,48:4,18:1,02
0:5,62:2,88:-2,61; 11:5,96:3,33:-1,43; 12:5,4:3,44:-0,74; 13:6,28:2,58:-0,77; 14:5,15:3,34:-1,09; 15:6,62:1,91:-0,87; 16:4,96:3,12:-2,48; 21:6,71:1,75:-0,91; 22:4,93:3,1:-2,65; 23:5,6:4,81:0,01; 24:5,26:4,65:-0,01; 25:5,52:5,98:-0; 26:4,44:4,66:0,2; 27:5,54:7,17:0,53; 28:3,75:4,39:1,9; 31:5,48:7,52:-0,61; 32:3,48:4,17:1,45
0:5,59:2,89:-2,13; 11:5,93:3,35:-1,32; 12:5,36:3,47:-0,29; 13:6,25:2,59:-2,03; 14:5,05:3,36:-0,81; 15:6,57:1,96:-2,6; 16:4,94:3,16:-2,38; 21:6,66:1,82:-2,66; 22:4,91:3,15:-2,52; 23:5,57:4,81:-0,44; 24:5,25:4,65:0,44; 25:5,52:5,96:-0,88; 26:4,44:4,69:0,6; 27:5,52:7,15:-0,43; 28:3,75:4,41:1,51; 31:5,42:7,5:-1,47; 32:3,48:4,18:1
0:5,6:2,87:-2,21; 11:5,93:3,33:-1,42; 12:5,36:3,46:-0,27; 13:6,25:2,57:-2,04; 14:5,06:3,35:-0,5; 15:6,58:1,91:-2,53; 16:4,93:3,14:-1,86; 21:6,66:1,75:-2,58; 22:4,89:3,12:-2,01; 23:5,57:4,81:-0,48; 24:5,25:4,65:0,48; 25:5,51:5,96:-0,84; 26:4,44:4,69:0,77; 27:5,52:7,15:-0,32; 28:3,74:4,4:1,94; 31:5,41:7,53:-1,35; 32:3,47:4,18:1,43
0:5,62:2,87:-1,95; 11:5,94:3,33:-0,62; 12:5,36:3,46:-0,89; 13:6,25:2,58:-0,33; 14:5,07:3,35:-2,02; 15:6,6:1,91:-0,03; 16:4,94:3,15:-3,92; 21:6,68:1,75:-0,09; 22:4,93:3,14:-4,07; 23:5,59:4,81:0,12; 24:5,25:4,65:-0,12; 25:5,52:5,96:0,3; 26:4,42:4,68:0,04; 27:5,53:7,15:0,63; 28:3,75:4,39:1,44; 31:5,49:7,52:-0,4; 32:3,48:4,18:1,02
