0:1,42:0,79:-0,59; 11:1,52:0,94:-0,32; 12:1,38:1,01:-0,21; 13:1,52:0,68:-0,52; 14:1,28:1,09:-0,21; 15:1,46:0,47:-0,63; 16:1,19:1,12:-0,29; 21:1,43:0,46:-0,64; 22:1,17:1,12:-0,32; 23:1,53:1,4:-0; 24:1,44:1,44:0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,04; 27:1,7:1,99:0,16; 28:1,53:2,17:0,16; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,06
0:1,42:0,79:-0,59; 11:1,52:0,94:-0,32; 12:1,38:1,01:-0,21; 13:1,52:0,68:-0,52; 14:1,28:1,09:-0,21; 15:1,46:0,47:-0,63; 16:1,19:1,12:-0,29; 21:1,43:0,46:-0,64; 22:1,17:1,12:-0,32; 23:1,53:1,4:-0; 24:1,44:1,44:0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,04; 27:1,7:1,99:0,16; 28:1,53:2,17:0,16; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,06
0:1,42:0,79:-0,54; 11:1,52:0,94:-0,28; 12:1,38:1,01:-0,18; 13:1,52:0,68:-0,48; 14:1,28:1,09:-0,18; 15:1,46:0,47:-0,59; 16:1,19:1,12:-0,25; 21:1,43:0,46:-0,6; 22:1,17:1,12:-0,28; 23:1,53:1,4:0; 24:1,44:1,44:-0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,06; 27:1,7:2:0,15; 28:1,53:2,17:0,13; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,09
0:1,42:0,79:-0,59; 11:1,52:0,94:-0,32; 12:1,38:1,01:-0,21; 13:1,52:0,68:-0,52; 14:1,28:1,09:-0,21; 15:1,46:0,47:-0,63; 16:1,19:1,12:-0,29; 21:1,43:0,46:-0,64; 22:1,17:1,12:-0,32; 23:1,53:1,4:-0; 24:1,44:1,44:0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,04; 27:1,7:1,99:0,16; 28:1,53:2,17:0,16; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,06
0:1,42:0,79:-0,54; 11:1,52:0,94:-0,28; 12:1,38:1,01:-0,18; 13:1,52:0,68:-0,48; 14:1,28:1,09:-0,18; 15:1,46:0,47:-0,59; 16:1,19:1,12:-0,25; 21:1,43:0,46:-0,6; 22:1,17:1,12:-0,28; 23:1,53:1,4:0; 24:1,44:1,44:-0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,06; 27:1,7:2:0,15; 28:1,53:2,17:0,13; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,09
0:1,42:0,8:-0,47; 11:1,52:0,94:-0,22; 12:1,39:1,01:-0,12; 13:1,52:0,68:-0,43; 14:1,28:1,09:-0,13; 15:1,46:0,47:-0,54; 16:1,19:1,12:-0,21; 21:1,44:0,46:-0,54; 22:1,17:1,12:-0,24; 23:1,53:1,4:0; 24:1,44:1,44:-0; 25:1,62:1,71:-0,05; 26:1,48:1,81:-0,05; 27:1,7:2:0,16; 28:1,53:2,18:0,14; 31:1,73:2,1:-0,03; 32:1,51:2,26:-0,08
0:1,42:0,79:-0,59; 11:1,52:0,94:-0,32; 12:1,38:1,01:-0,21; 13:1,52:0,68:-0,52; 14:1,28:1,09:-0,21; 15:1,46:0,47:-0,63; 16:1,19:1,12:-0,29; 21:1,43:0,46:-0,64; 22:1,17:1,12:-0,32; 23:1,53:1,4:-0; 24:1,44:1,44:0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,04; 27:1,7:1,99:0,16; 28:1,53:2,17:0,16; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,06
0:1,42:0,79:-0,54; 11:1,52:0,94:-0,28; 12:1,38:1,01:-0,18; 13:1,52:0,68:-0,48; 14:1,28:1,09:-0,18; 15:1,46:0,47:-0,59; 16:1,19:1,12:-0,25; 21:1,43:0,46:-0,6; 22:1,17:1,12:-0,28; 23:1,53:1,4:0; 24:1,44:1,44:-0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,06; 27:1,7:2:0,15; 28:1,53:2,17:0,13; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,09
0:1,42:0,8:-0,47; 11:1,52:0,94:-0,22; 12:1,39:1,01:-0,12; 13:1,52:0,68:-0,43; 14:1,28:1,09:-0,13; 15:1,46:0,47:-0,54; 16:1,19:1,12:-0,21; 21:1,44:0,46:-0,54; 22:1,17:1,12:-0,24; 23:1,53:1,4:0; 24:1,44:1,44:-0; 25:1,62:1,71:-0,05; 26:1,48:1,81:-0,05; 27:1,7:2:0,16; 28:1,53:2,18:0,14; 31:1,73:2,1:-0,03; 32:1,51:2,26:-0,08
0:1,43:0,8:-0,51; 11:1,52:0,94:-0,25; 12:1,39:1,01:-0,14; 13:1,53:0,68:-0,46; 14:1,28:1,1:-0,14; 15:1,46:0,47:-0,58; 16:1,19:1,13:-0,24; 21:1,44:0,47:-0,58; 22:1,17:1,13:-0,26; 23:1,53:1,4:0; 24:1,45:1,44:-0; 25:1,62:1,71:-0,07; 26:1,48:1,82:-0,03; 27:1,7:2:0,13; 28:1,54:2,19:0,14; 31:1,73:2,1:-0,07; 32:1,51:2,27:-0,08
0:1,42:0,79:-0,59; 11:1,52:0,94:-0,32; 12:1,38:1,01:-0,21; 13:1,52:0,68:-0,52; 14:1,28:1,09:-0,21; 15:1,46:0,47:-0,63; 16:1,19:1,12:-0,29; 21:1,43:0,46:-0,64; 22:1,17:1,12:-0,32; 23:1,53:1,4:-0; 24:1,44:1,44:0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,04; 27:1,7:1,99:0,16; 28:1,53:2,17:0,16; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,06
0:1,42:0,79:-0,54; 11:1,52:0,94:-0,28; 12:1,38:1,01:-0,18; 13:1,52:0,68:-0,48; 14:1,28:1,09:-0,18; 15:1,46:0,47:-0,59; 16:1,19:1,12:-0,25; 21:1,43:0,46:-0,6; 22:1,17:1,12:-0,28; 23:1,53:1,4:0; 24:1,44:1,44:-0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,06; 27:1,7:2:0,15; 28:1,53:2,17:0,13; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,09
0:1,42:0,8:-0,47; 11:1,52:0,94:-0,22; 12:1,39:1,01:-0,12; 13:1,52:0,68:-0,43; 14:1,28:1,09:-0,13; 15:1,46:0,47:-0,54; 16:1,19:1,12:-0,21; 21:1,44:0,46:-0,54; 22:1,17:1,12:-0,24; 23:1,53:1,4:0; 24:1,44:1,44:-0; 25:1,62:1,71:-0,05; 26:1,48:1,81:-0,05; 27:1,7:2:0,16; 28:1,53:2,18:0,14; 31:1,73:2,1:-0,03; 32:1,51:2,26:-0,08
0:1,43:0,8:-0,51; 11:1,52:0,94:-0,25; 12:1,39:1,01:-0,14; 13:1,53:0,68:-0,46; 14:1,28:1,1:-0,14; 15:1,46:0,47:-0,58; 16:1,19:1,13:-0,24; 21:1,44:0,47:-0,58; 22:1,17:1,13:-0,26; 23:1,53:1,4:0; 24:1,45:1,44:-0; 25:1,62:1,71:-0,07; 26:1,48:1,82:-0,03; 27:1,7:2:0,13; 28:1,54:2,19:0,14; 31:1,73:2,1:-0,07; 32:1,51:2,27:-0,08
0:1,43:0,8:-0,52; 11:1,52:0,95:-0,26; 12:1,39:1,01:-0,18; 13:1,53:0,69:-0,46; 14:1,29:1,1:-0,19; 15:1,47:0,48:-0,59; 16:1,19:1,13:-0,29; 21:1,44:0,47:-0,59; 22:1,18:1,13:-0,31; 23:1,54:1,41:0; 24:1,45:1,45:-0; 25:1,62:1,71:-0,03; 26:1,48:1,82:-0,04; 27:1,7:2:0,16; 28:1,54:2,19:0,12; 31:1,73:2,1:-0,03; 32:1,51:2,27:-0,1
0:1,42:0,79:-0,59; 11:1,52:0,94:-0,32; 12:1,38:1,01:-0,21; 13:1,52:0,68:-0,52; 14:1,28:1,09:-0,21; 15:1,46:0,47:-0,63; 16:1,19:1,12:-0,29; 21:1,43:0,46:-0,64; 22:1,17:1,12:-0,32; 23:1,53:1,4:-0; 24:1,44:1,44:0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,04; 27:1,7:1,99:0,16; 28:1,53:2,17:0,16; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,06
0:1,42:0,79:-0,54; 11:1,52:0,94:-0,28; 12:1,38:1,01:-0,18; 13:1,52:0,68:-0,48; 14:1,28:1,09:-0,18; 15:1,46:0,47:-0,59; 16:1,19:1,12:-0,25; 21:1,43:0,46:-0,6; 22:1,17:1,12:-0,28; 23:1,53:1,4:0; 24:1,44:1,44:-0; 25:1,62:1,7:-0,05; 26:1,48:1,81:-0,06; 27:1,7:2:0,15; 28:1,53:2,17:0,13; 31:1,73:2,09:-0,05; 32:1,51:2,26:-0,09
0:1,42:0,8:-0,47; 11:1,52:0,94:-0,22; 12:1,39:1,01:-0,12; 13:1,52:0,68:-0,43; 14:1,28:1,09:-0,13; 15:1,46:0,47:-0,54; 16:1,19:1,12:-0,21; 21:1,44:0,46:-0,54; 22:1,17:1,12:-0,24; 23:1,53:1,4:0; 24:1,44:1,44:-0; 25:1,62:1,71:-0,05; 26:1,48:1,81:-0,05; 27:1,7:2:0,16; 28:1,53:2,18:0,14; 31:1,73:2,1:-0,03; 32:1,51:2,26:-0,08
0:1,43:0,8:-0,51; 11:1,52:0,94:-0,25; 12:1,39:1,01:-0,14; 13:1,53:0,68:-0,46; 14:1,28:1,1:-0,14; 15:1,46:0,47:-0,58; 16:1,19:1,13:-0,24; 21:1,44:0,47:-0,58; 22:1,17:1,13:-0,26; 23:1,53:1,4:0; 24:1,45:1,44:-0; 25:1,62:1,71:-0,07; 26:1,48:1,82:-0,03; 27:1,7:2:0,13; 28:1,54:2,19:0,14; 31:1,73:2,1:-0,07; 32:1,51:2,27:-0,08
0:1,43:0,8:-0,52; 11:1,52:0,95:-0,26; 12:1,39:1,01:-0,18; 13:1,53:0,69:-0,46; 14:1,29:1,1:-0,19; 15:1,47:0,48:-0,59; 16:1,19:1,13:-0,29; 21:1,44:0,47:-0,59; 22:1,18:1,13:-0,31; 23:1,54:1,41:0; 24:1,45:1,45:-0; 25:1,62:1,71:-0,03; 26:1,48:1,82:-0,04; 27:1,7:2:0,16; 28:1,54:2,19:0,12; 31:1,73:2,1:-0,03; 32:1,51:2,27:-0,1
0:1,43:0,8:-0,5; 11:1,52:0,95:-0,25; 12:1,39:1,02:-0,16; 13:1,53:0,69:-0,47; 14:1,29:1,11:-0,18; 15:1,47:0,48:-0,59; 16:1,19:1,13:-0,27; 21:1,44:0,47:-0,6; 22:1,18:1,13:-0,29; 23:1,54:1,41:0; 24:1,45:1,45:-0; 25:1,62:1,71:-0,03; 26:1,48:1,82:-0,04; 27:1,7:2:0,18; 28:1,53:2,19:0,12; 31:1,73:2,1:-0,01; 32:1,51:2,27:-0,09
