0:3,62:1,36:-2,02; 11:3,18:1,48:-2,09; 12:3,72:2,06:-2,31; 13:2,97:0,84:-1,14; 14:4,04:2,61:-2,25; 15:2,88:0,15:-0,34; 16:4,43:3,07:-2,47; 21:2,86:0,02:-0,34; 22:4,5:3,17:-2,52; 23:3,18:2,93:0,02; 24:3,47:3:-0,02; 25:3,22:4,01:0,75; 26:3,51:4,03:0,62; 27:3,47:4,93:1,3; 28:3,59:4,96:1,49; 31:3,51:5,13:1,13; 32:3,6:5,19:1,39
0:3,62:1,36:-2,02; 11:3,18:1,48:-2,09; 12:3,72:2,06:-2,31; 13:2,97:0,84:-1,14; 14:4,04:2,61:-2,25; 15:2,88:0,15:-0,34; 16:4,43:3,07:-2,47; 21:2,86:0,02:-0,34; 22:4,5:3,17:-2,52; 23:3,18:2,93:0,02; 24:3,47:3:-0,02; 25:3,22:4,01:0,75; 26:3,51:4,03:0,62; 27:3,47:4,93:1,3; 28:3,59:4,96:1,49; 31:3,51:5,13:1,13; 32:3,6:5,19:1,39
0:3,57:1,31:-2,89; 11:3,09:1,47:-2,14; 12:3,7:2,01:-2,69; 13:2,91:0,8:-1,47; 14:3,96:2,45:-3,03; 15:2,84:0,1:-1,47; 16:4,35:2,88:-3,74; 21:2,85:-0,04:-1,48; 22:4,41:2,97:-3,8; 23:3,13:2,9:0,1; 24:3,41:2,92:-0,1; 25:3,12:3,97:0,49; 26:3,46:3,98:0,56; 27:3,31:4,91:0,9; 28:3,5:4,95:1,51; 31:3,31:5,12:0,46; 32:3,52:5,18:1,28
0:3,62:1,36:-2,02; 11:3,18:1,48:-2,09; 12:3,72:2,06:-2,31; 13:2,97:0,84:-1,14; 14:4,04:2,61:-2,25; 15:2,88:0,15:-0,34; 16:4,43:3,07:-2,47; 21:2,86:0,02:-0,34; 22:4,5:3,17:-2,52; 23:3,18:2,93:0,02; 24:3,47:3:-0,02; 25:3,22:4,01:0,75; 26:3,51:4,03:0,62; 27:3,47:4,93:1,3; 28:3,59:4,96:1,49; 31:3,51:5,13:1,13; 32:3,6:5,19:1,39
0:3,57:1,31:-2,89; 11:3,09:1,47:-2,14; 12:3,7:2,01:-2,69; 13:2,91:0,8:-1,47; 14:3,96:2,45:-3,03; 15:2,84:0,1:-1,47; 16:4,35:2,88:-3,74; 21:2,85:-0,04:-1,48; 22:4,41:2,97:-3,8; 23:3,13:2,9:0,1; 24:3,41:2,92:-0,1; 25:3,12:3,97:0,49; 26:3,46:3,98:0,56; 27:3,31:4,91:0,9; 28:3,5:4,95:1,51; 31:3,31:5,12:0,46; 32:3,52:5,18:1,28
0:3,44:1,24:-3,57; 11:3,15:1,54:-2,41; 12:3,52:1,87:-2,75; 13:2,96:0,97:-2,23; 14:3,68:1,86:-3,29; 15:3,03:0,25:-2,62; 16:3,97:2,11:-4,19; 21:3,04:0,35:-2,68; 22:4,03:2,19:-4,25; 23:3,13:2,85:0,09; 24:3,34:2,86:-0,09; 25:3,13:3,93:0,06; 26:3,38:3,94:0,63; 27:3,3:4,89:0,28; 28:3,44:4,93:1,11; 31:3,36:5,12:-0,26; 32:3,46:5,19:0,69
0:3,62:1,36:-2,02; 11:3,18:1,48:-2,09; 12:3,72:2,06:-2,31; 13:2,97:0,84:-1,14; 14:4,04:2,61:-2,25; 15:2,88:0,15:-0,34; 16:4,43:3,07:-2,47; 21:2,86:0,02:-0,34; 22:4,5:3,17:-2,52; 23:3,18:2,93:0,02; 24:3,47:3:-0,02; 25:3,22:4,01:0,75; 26:3,51:4,03:0,62; 27:3,47:4,93:1,3; 28:3,59:4,96:1,49; 31:3,51:5,13:1,13; 32:3,6:5,19:1,39
0:3,57:1,31:-2,89; 11:3,09:1,47:-2,14; 12:3,7:2,01:-2,69; 13:2,91:0,8:-1,47; 14:3,96:2,45:-3,03; 15:2,84:0,1:-1,47; 16:4,35:2,88:-3,74; 21:2,85:-0,04:-1,48; 22:4,41:2,97:-3,8; 23:3,13:2,9:0,1; 24:3,41:2,92:-0,1; 25:3,12:3,97:0,49; 26:3,46:3,98:0,56; 27:3,31:4,91:0,9; 28:3,5:4,95:1,51; 31:3,31:5,12:0,46; 32:3,52:5,18:1,28
0:3,44:1,24:-3,57; 11:3,15:1,54:-2,41; 12:3,52:1,87:-2,75; 13:2,96:0,97:-2,23; 14:3,68:1,86:-3,29; 15:3,03:0,25:-2,62; 16:3,97:2,11:-4,19; 21:3,04:0,35:-2,68; 22:4,03:2,19:-4,25; 23:3,13:2,85:0,09; 24:3,34:2,86:-0,09; 25:3,13:3,93:0,06; 26:3,38:3,94:0,63; 27:3,3:4,89:0,28; 28:3,44:4,93:1,11; 31:3,36:5,12:-0,26; 32:3,46:5,19:0,69
0:3,38:1,23:-4,96; 11:3,35:1,78:-3,16; 12:3,02:1,52:-2,9; 13:3,81:2,27:-2,76; 14:2,84:0,77:-2,77; 15:4,28:2,65:-3,04; 16:2,83:0,18:-2,54; 21:4,37:2,76:-3,17; 22:2,81:0,11:-2,6; 23:3,16:2,84:-0,17; 24:3,19:2,82:0,17; 25:3,14:3,87:-0,07; 26:3,27:3,9:0,63; 27:3,31:4,85:0,16; 28:3,35:4,85:1,22; 31:3,34:5,11:-0,65; 32:3,3:5,13:0,62
0:3,62:1,36:-2,02; 11:3,18:1,48:-2,09; 12:3,72:2,06:-2,31; 13:2,97:0,84:-1,14; 14:4,04:2,61:-2,25; 15:2,88:0,15:-0,34; 16:4,43:3,07:-2,47; 21:2,86:0,02:-0,34; 22:4,5:3,17:-2,52; 23:3,18:2,93:0,02; 24:3,47:3:-0,02; 25:3,22:4,01:0,75; 26:3,51:4,03:0,62; 27:3,47:4,93:1,3; 28:3,59:4,96:1,49; 31:3,51:5,13:1,13; 32:3,6:5,19:1,39
