0:0,54:0,23:-0,35; 11:0,55:0,3:-0,14; 12:0,49:0,25:-0,2; 13:0,59:0,38:-0,16; 14:0,45:0,22:-0,12; 15:0,57:0,36:-0,27; 16:0,42:0,25:-0,05; 21:0,57:0,34:-0,28; 22:0,42:0,27:-0,05; 23:0,51:0,44:0,04; 24:0,49:0,45:-0,04; 25:0,49:0,43:0,16; 26:0,52:0,59:-0,09; 27:0,45:0,42:0,33; 28:0,53:0,73:-0,1; 31:0,46:0,41:0,32; 32:0,54:0,77:-0,18
0:0,54:0,23:-0,35; 11:0,55:0,3:-0,14; 12:0,49:0,25:-0,2; 13:0,59:0,38:-0,16; 14:0,45:0,22:-0,12; 15:0,57:0,36:-0,27; 16:0,42:0,25:-0,05; 21:0,57:0,34:-0,28; 22:0,42:0,27:-0,05; 23:0,51:0,44:0,04; 24:0,49:0,45:-0,04; 25:0,49:0,43:0,16; 26:0,52:0,59:-0,09; 27:0,45:0,42:0,33; 28:0,53:0,73:-0,1; 31:0,46:0,41:0,32; 32:0,54:0,77:-0,18
0:0,54:0,26:-0,3; 11:0,55:0,33:-0,13; 12:0,49:0,28:-0,18; 13:0,59:0,41:-0,17; 14:0,45:0,26:-0,18; 15:0,57:0,37:-0,32; 16:0,42:0,28:-0,23; 21:0,56:0,36:-0,32; 22:0,42:0,27:-0,23; 23:0,51:0,48:0,04; 24:0,49:0,47:-0,04; 25:0,49:0,57:0,16; 26:0,51:0,59:-0,15; 27:0,46:0,49:0,41; 28:0,52:0,73:-0,05; 31:0,46:0,49:0,42; 32:0,53:0,77:-0,1
0:0,54:0,23:-0,35; 11:0,55:0,3:-0,14; 12:0,49:0,25:-0,2; 13:0,59:0,38:-0,16; 14:0,45:0,22:-0,12; 15:0,57:0,36:-0,27; 16:0,42:0,25:-0,05; 21:0,57:0,34:-0,28; 22:0,42:0,27:-0,05; 23:0,51:0,44:0,04; 24:0,49:0,45:-0,04; 25:0,49:0,43:0,16; 26:0,52:0,59:-0,09; 27:0,45:0,42:0,33; 28:0,53:0,73:-0,1; 31:0,46:0,41:0,32; 32:0,54:0,77:-0,18
0:0,54:0,26:-0,3; 11:0,55:0,33:-0,13; 12:0,49:0,28:-0,18; 13:0,59:0,41:-0,17; 14:0,45:0,26:-0,18; 15:0,57:0,37:-0,32; 16:0,42:0,28:-0,23; 21:0,56:0,36:-0,32; 22:0,42:0,27:-0,23; 23:0,51:0,48:0,04; 24:0,49:0,47:-0,04; 25:0,49:0,57:0,16; 26:0,51:0,59:-0,15; 27:0,46:0,49:0,41; 28:0,52:0,73:-0,05; 31:0,46:0,49:0,42; 32:0,53:0,77:-0,1
0:0,54:0,27:-0,21; 11:0,55:0,34:-0,07; 12:0,48:0,29:-0,12; 13:0,59:0,42:-0,12; 14:0,44:0,29:-0,11; 15:0,57:0,41:-0,27; 16:0,41:0,34:-0,18; 21:0,56:0,39:-0,27; 22:0,41:0,35:-0,18; 23:0,51:0,48:0,04; 24:0,48:0,47:-0,04; 25:0,5:0,59:0,09; 26:0,51:0,61:-0,1; 27:0,46:0,57:0,34; 28:0,5:0,71:0,01; 31:0,46:0,59:0,33; 32:0,52:0,76:-0,04
0:0,54:0,23:-0,35; 11:0,55:0,3:-0,14; 12:0,49:0,25:-0,2; 13:0,59:0,38:-0,16; 14:0,45:0,22:-0,12; 15:0,57:0,36:-0,27; 16:0,42:0,25:-0,05; 21:0,57:0,34:-0,28; 22:0,42:0,27:-0,05; 23:0,51:0,44:0,04; 24:0,49:0,45:-0,04; 25:0,49:0,43:0,16; 26:0,52:0,59:-0,09; 27:0,45:0,42:0,33; 28:0,53:0,73:-0,1; 31:0,46:0,41:0,32; 32:0,54:0,77:-0,18
0:0,54:0,26:-0,3; 11:0,55:0,33:-0,13; 12:0,49:0,28:-0,18; 13:0,59:0,41:-0,17; 14:0,45:0,26:-0,18; 15:0,57:0,37:-0,32; 16:0,42:0,28:-0,23; 21:0,56:0,36:-0,32; 22:0,42:0,27:-0,23; 23:0,51:0,48:0,04; 24:0,49:0,47:-0,04; 25:0,49:0,57:0,16; 26:0,51:0,59:-0,15; 27:0,46:0,49:0,41; 28:0,52:0,73:-0,05; 31:0,46:0,49:0,42; 32:0,53:0,77:-0,1
0:0,54:0,27:-0,21; 11:0,55:0,34:-0,07; 12:0,48:0,29:-0,12; 13:0,59:0,42:-0,12; 14:0,44:0,29:-0,11; 15:0,57:0,41:-0,27; 16:0,41:0,34:-0,18; 21:0,56:0,39:-0,27; 22:0,41:0,35:-0,18; 23:0,51:0,48:0,04; 24:0,48:0,47:-0,04; 25:0,5:0,59:0,09; 26:0,51:0,61:-0,1; 27:0,46:0,57:0,34; 28:0,5:0,71:0,01; 31:0,46:0,59:0,33; 32:0,52:0,76:-0,04
0:0,54:0,26:-0,29; 11:0,55:0,33:-0,14; 12:0,48:0,29:-0,18; 13:0,59:0,42:-0,2; 14:0,44:0,33:-0,17; 15:0,59:0,44:-0,37; 16:0,41:0,41:-0,23; 21:0,58:0,44:-0,38; 22:0,41:0,43:-0,24; 23:0,51:0,47:0,03; 24:0,48:0,47:-0,03; 25:0,52:0,59:0; 26:0,5:0,61:-0,06; 27:0,49:0,59:0,23; 28:0,48:0,7:0,08; 31:0,49:0,63:0,24; 32:0,49:0,74:0,05
0:0,54:0,23:-0,35; 11:0,55:0,3:-0,14; 12:0,49:0,25:-0,2; 13:0,59:0,38:-0,16; 14:0,45:0,22:-0,12; 15:0,57:0,36:-0,27; 16:0,42:0,25:-0,05; 21:0,57:0,34:-0,28; 22:0,42:0,27:-0,05; 23:0,51:0,44:0,04; 24:0,49:0,45:-0,04; 25:0,49:0,43:0,16; 26:0,52:0,59:-0,09; 27:0,45:0,42:0,33; 28:0,53:0,73:-0,1; 31:0,46:0,41:0,32; 32:0,54:0,77:-0,18
