0:4,699999999999999:3:-1,1; 11:5,1:3,5:-3,2; 12:5:3,5999999999999996:1,5; 13:4,6000000000000005:4:-4,9; 14:4,6000000000000005:4,1:3,4000000000000004; 15:4,1:4,1:-5,8999999999999995; 16:4,1:4,2:4,699999999999999; 21:3,9000000000000004:4,2:-5,8; 22:4:4,2:4,699999999999999; 23:5,4:5,2:-1,3; 24:5,2:5,2:1,3; 25:5,4:6,5:-1,7999999999999998; 26:4,9:6,5:1,1; 27:5,8999999999999995:7,9:-1,3; 28:4,8:7,800000000000001:1,4000000000000001; 31:5,6000000000000005:8,4:-2,2; 32:4,5:8,299999999999999:0,6
0:4,699999999999999:3:-1,1; 11:5,1:3,5:-3,2; 12:5:3,5999999999999996:1,5; 13:4,6000000000000005:4:-4,9; 14:4,6000000000000005:4,1:3,4000000000000004; 15:4,1:4,1:-5,8999999999999995; 16:4,1:4,2:4,699999999999999; 21:3,9000000000000004:4,2:-5,8; 22:4:4,2:4,699999999999999; 23:5,4:5,2:-1,3; 24:5,2:5,2:1,3; 25:5,4:6,5:-1,7999999999999998; 26:4,9:6,5:1,1; 27:5,8999999999999995:7,9:-1,3; 28:4,8:7,800000000000001:1,4000000000000001; 31:5,6000000000000005:8,4:-2,2; 32:4,5:8,299999999999999:0,6
0:4,8:3,3000000000000003:2; 11:4,8:3,7:-1,3; 12:5,2:3,9000000000000004:2,8000000000000003; 13:4,3:4,2:-2,2; 14:4,6000000000000005:4,4:3,1; 15:3,7:4,4:-2; 16:3,9000000000000004:4,6000000000000005:2,8000000000000003; 21:3,5999999999999996:4,4:-1,9; 22:3,8:4,6000000000000005:2,7; 23:5,300000000000001:5,4:-1,2; 24:5,5:5,5:1,2; 25:5,2:6,800000000000001:-1,5; 26:5,2:6,800000000000001:0,8; 27:5,5:8:-1,7999999999999998; 28:5,2:7,9:0,3; 31:5,2:8,299999999999999:-2,6; 32:4,9:8,299999999999999:-0,4
0:4,699999999999999:3:-1,1; 11:5,1:3,5:-3,2; 12:5:3,5999999999999996:1,5; 13:4,6000000000000005:4:-4,9; 14:4,6000000000000005:4,1:3,4000000000000004; 15:4,1:4,1:-5,8999999999999995; 16:4,1:4,2:4,699999999999999; 21:3,9000000000000004:4,2:-5,8; 22:4:4,2:4,699999999999999; 23:5,4:5,2:-1,3; 24:5,2:5,2:1,3; 25:5,4:6,5:-1,7999999999999998; 26:4,9:6,5:1,1; 27:5,8999999999999995:7,9:-1,3; 28:4,8:7,800000000000001:1,4000000000000001; 31:5,6000000000000005:8,4:-2,2; 32:4,5:8,299999999999999:0,6
0:4,8:3,3000000000000003:2; 11:4,8:3,7:-1,3; 12:5,2:3,9000000000000004:2,8000000000000003; 13:4,3:4,2:-2,2; 14:4,6000000000000005:4,4:3,1; 15:3,7:4,4:-2; 16:3,9000000000000004:4,6000000000000005:2,8000000000000003; 21:3,5999999999999996:4,4:-1,9; 22:3,8:4,6000000000000005:2,7; 23:5,300000000000001:5,4:-1,2; 24:5,5:5,5:1,2; 25:5,2:6,800000000000001:-1,5; 26:5,2:6,800000000000001:0,8; 27:5,5:8:-1,7999999999999998; 28:5,2:7,9:0,3; 31:5,2:8,299999999999999:-2,6; 32:4,9:8,299999999999999:-0,4
0:4,9:3,3000000000000003:2,2; 11:4,699999999999999:3,9000000000000004:-1,2; 12:5,2:3,9000000000000004:2,3000000000000003; 13:4,1:4,3:-2,8000000000000003; 14:4,699999999999999:4,4:3,5; 15:3,5:4,5:-4,3; 16:4:4,8:4,6000000000000005; 21:3,4000000000000004:4,5:-4,2; 22:3,9000000000000004:4,8:4,5; 23:5,1:5,6000000000000005:-1,1; 24:5,5:5,5:1,1; 25:5,1:6,8999999999999995:-1,3; 26:5,300000000000001:6,8999999999999995:1,1; 27:5,4:8,2:-1,5; 28:5,4:8,100000000000001:0,4; 31:5,300000000000001:8,5:-2; 32:5,300000000000001:8,4:-0,1
0:4,699999999999999:3:-1,1; 11:5,1:3,5:-3,2; 12:5:3,5999999999999996:1,5; 13:4,6000000000000005:4:-4,9; 14:4,6000000000000005:4,1:3,4000000000000004; 15:4,1:4,1:-5,8999999999999995; 16:4,1:4,2:4,699999999999999; 21:3,9000000000000004:4,2:-5,8; 22:4:4,2:4,699999999999999; 23:5,4:5,2:-1,3; 24:5,2:5,2:1,3; 25:5,4:6,5:-1,7999999999999998; 26:4,9:6,5:1,1; 27:5,8999999999999995:7,9:-1,3; 28:4,8:7,800000000000001:1,4000000000000001; 31:5,6000000000000005:8,4:-2,2; 32:4,5:8,299999999999999:0,6
0:4,8:3,3000000000000003:2; 11:4,8:3,7:-1,3; 12:5,2:3,9000000000000004:2,8000000000000003; 13:4,3:4,2:-2,2; 14:4,6000000000000005:4,4:3,1; 15:3,7:4,4:-2; 16:3,9000000000000004:4,6000000000000005:2,8000000000000003; 21:3,5999999999999996:4,4:-1,9; 22:3,8:4,6000000000000005:2,7; 23:5,300000000000001:5,4:-1,2; 24:5,5:5,5:1,2; 25:5,2:6,800000000000001:-1,5; 26:5,2:6,800000000000001:0,8; 27:5,5:8:-1,7999999999999998; 28:5,2:7,9:0,3; 31:5,2:8,299999999999999:-2,6; 32:4,9:8,299999999999999:-0,4
0:4,9:3,3000000000000003:2,2; 11:4,699999999999999:3,9000000000000004:-1,2; 12:5,2:3,9000000000000004:2,3000000000000003; 13:4,1:4,3:-2,8000000000000003; 14:4,699999999999999:4,4:3,5; 15:3,5:4,5:-4,3; 16:4:4,8:4,6000000000000005; 21:3,4000000000000004:4,5:-4,2; 22:3,9000000000000004:4,8:4,5; 23:5,1:5,6000000000000005:-1,1; 24:5,5:5,5:1,1; 25:5,1:6,8999999999999995:-1,3; 26:5,300000000000001:6,8999999999999995:1,1; 27:5,4:8,2:-1,5; 28:5,4:8,100000000000001:0,4; 31:5,300000000000001:8,5:-2; 32:5,300000000000001:8,4:-0,1
0:4,9:3,4000000000000004:2,3000000000000003; 11:4,6000000000000005:3,9000000000000004:-0,7000000000000001; 12:5,2:3,9000000000000004:2,2; 13:4:4,3:-1,7000000000000002; 14:4,9:4,5:3,5999999999999996; 15:3,4000000000000004:4,5:-2; 16:4,5:4,699999999999999:5; 21:3,3000000000000003:4,5:-1,9; 22:4,3:4,8:5; 23:5:5,6000000000000005:-0,8999999999999999; 24:5,5:5,5:0,8999999999999999; 25:5:7:-0,8999999999999999; 26:5,5:6,800000000000001:0,8999999999999999; 27:5,4:8,100000000000001:-1,2; 28:5,5:8,100000000000001:0,2; 31:5,2:8,4:-1,4000000000000001; 32:5,5:8,299999999999999:-0
0:4,699999999999999:3:-1,1; 11:5,1:3,5:-3,2; 12:5:3,5999999999999996:1,5; 13:4,6000000000000005:4:-4,9; 14:4,6000000000000005:4,1:3,4000000000000004; 15:4,1:4,1:-5,8999999999999995; 16:4,1:4,2:4,699999999999999; 21:3,9000000000000004:4,2:-5,8; 22:4:4,2:4,699999999999999; 23:5,4:5,2:-1,3; 24:5,2:5,2:1,3; 25:5,4:6,5:-1,7999999999999998; 26:4,9:6,5:1,1; 27:5,8999999999999995:7,9:-1,3; 28:4,8:7,800000000000001:1,4000000000000001; 31:5,6000000000000005:8,4:-2,2; 32:4,5:8,299999999999999:0,6
